12.9.1986  Big Country; Jäähalli, Helsinki [C]
21.1.2006  Katariina Hänninen; Awalon [C]
1.2.2006   Indica; Sellosali [C]
2.2.2006   Irina; On The Rocks [C]
3.2.2006   Kaija Koo; Nevada, Porvoo [C]
6.3.2006   The 69 Eyes; Axis, Boston, USA [C]
20.3.2006  The Gathering, Giant Squid; The Middle East (downstairs), Cambridge, USA [C]
5.4.2006   Neko Case, Martha Wainwright; The Roxy, Boston, USA [C]
14.4.2006  The Sounds, Morningwood; Avalon, Boston, USA [C]
21.4.2006  Dresden Dolls; The Orpheum Theatre, Boston, USA [C]
5.5.2006   Irina; Tulisuudelma [C]
10.5.2006  Viola; Botta [C]
11.5.2006  Stella, Jana; On The Rocks [C]
12.5.2006  Indica; Kaapelitehdas [C]
12.5.2006  Tiktak; Bohemia [C]
13.5.2006  Indica; Sappee, Pälkäne (1) [C]
13.5.2006  Indica; Sappee, Pälkäne (2) [C]
19.5.2006  Scandinavian Music Group; Virgin Oil Co. [C]
19.5.2006  Kaija Koo; Tapiola Garden [MC]
20.5.2006  Tiktak; Tampere-talo, Tampere [C]
20.5.2006  Tiktak; Tapiola Garden [C]
21.5.2006  Jonna Tervomaa, Jukka Takalo, Esa Eloranta; Kuudes linja [C]
24.5.2006  Maija Vilkkumaa; Tavastia [C]
25.5.2006  Magenta Skycode, Callisto, Dawn of Solace; Tavastia [C]
26.5.2006  Lordi; Kauppatori [C]
27.5.2006  Indica; Jäähalli, Kaarina [C]
27.5.2006  Indica; Kåren, Turku [C]
31.5.2006  Katariina Hänninen; Saha, Tampere [C]
2.6.2006   Tiktak; Tavastia [C]
3.6.2006   Indica; Nurmirock, Kiljava, Nurmijärvi [C]
3.6.2006   Tiktak; Tavastia [C]
4.6.2006   Irina; Montturock, Tuusula [C]
10.6.2006  Indica, Euforia; Valtarock, Harjavalta [C]
11.6.2006  Jonna Tervomaa; Kuudes linja [C]
15.6.2006  Tiktak; Tori, Salo [C]
15.6.2006  Stella, Calf; Tavastia [C]
21.6.2006  Tiktak; On The Rocks [C]
28.6.2006  Katri Ylander; DTM [C]
30.6.2006  Ivalo, Soma; Semifinal [C]
1.7.2006   Nerdee; Kaivopuisto [C]
1.7.2006   Silhuetti, Tellus; Club Liberté [C]
1.7.2006   Jonna's Problem; Tapiola Garden [C]
3.7.2006   Maija Vilkkumaa; Keskustori, Tampere [C]
5.7.2006   Jaarli Padington, Jaakko Pesola Band; Semifinal [C]
7.7.2006   el Niklas; Tivoli [C]
8.7.2006   Ruisrock 2006: Maija Vilkkumaa, Maya Paakkari + Maija Vilkkumaa (sing Janis Joplin), PMMP, Jukka Poika ja Jenkkarenkka; Ruissalo, Turku [C]
9.7.2006   Ruisrock 2006: Scandinavian Music Group, Tiktak, Apulanta, The Cardigans, Mauron Maiden; Ruissalo, Turku [C]
12.7.2006  Sir Elwoodin hiljaiset värit; Tavastia [C]
13.7.2006  Tiktak, Stella; Keskustori, Tampere [C]
13.7.2006  Maija Vilkkumaa; Kaivohuone [C]
14.7.2006  Suzanne Vega, Fork; Pakkahuone, Tampere [C]
15.7.2006  Scandinavian Music Group, Egotrippi; Pakkahuone, Tampere [C]
16.7.2006  Indica; Varuskunta, Riihimäki [C]
21.7.2006  Indica; Wanha Kino, Kerava [C]
26.7.2006  Magenta Skycode, Prologue; Tavastia [C]
27.7.2006  Tiktak; Kaivohuone [C]
28.7.2006  Irina; Tulisuudelma [C]
29.7.2006  Silhuetti; Laterna, Tampere [C]
2.8.2006   Irina; Keskustori, Tampere [C]
4.8.2006   Maija Vilkkumaa, Apulanta, Periferia; Holjat, Forssa [C]
6.8.2006   Ankkarock 2006: Tiktak, Scandinavian Music Group, Maija Vilkkumaa, Von Hertzen Brothers, Lapko, Children of Bodom; Korso [C]
10.8.2006  Lauri Tähkä & Elonkerjuu; Virgin Oil Co. [C]
11.8.2006  Ropecon 2006; Dipoli (3 days)
16.8.2006  Iconcrash, Blackchaplin; Kuudes linja [C]
18.8.2006  Irina; Tavastia [C]
19.8.2006  Viola, Passionworks; Helsinki City Marathon, Telakkakatu [C]
19.8.2006  Muusa, Vaarna; Club Liberté [C]
22.8.2006  Sansa; Erottaja Bar [C]
22.8.2006  Magenta Skycode; Kuudes linja [C]
26.8.2006  Tiktak; Ravintola Kellari, Riihimäki [C]
31.8.2006  Sansa, Montevideo; Club Liberté [C]
1.9.2006   Stella, Poor Seamus; Virgin Oil Co. [C]
2.9.2006   Kaija Koo; Awalon [C]
4.9.2006   Marbleheroes; Club Liberté [C]
6.9.2006   Silhuetti; YO-talo, Tampere [C]
6.9.2006   Tiktak; Komeetta, Tampere [C]
8.9.2006   Tiktak, Mistique; Feeniks, Forssa [C]
8.9.2006   Stella, Silhuetti; Iisoppi, Nokia [C]
11.9.2006  Scandinavian Music Group; Vanha [C]
14.9.2006  The Sounds, Brightboy; Nosturi [C]
15.9.2006  Indica; Tulisuudelma [C]
16.9.2006  Indica; Kauppakeskus Hansa, Turku [C]
16.9.2006  Dame; Du:ni, Seinäjoki [C]
19.9.2006  Carmen Gray; Kuudes linja [C]
23.9.2006  el Niklas, Silenzio; Tivoli [C]
25.9.2006  Bryan Adams, Sansa; Hartwall Areena [C]
26.9.2006  Dame, Marit Bergman; Tavastia [C]
28.9.2006  Fish; Tavastia [C]
29.9.2006  Dame; YO-talo, Tampere [C]
30.9.2006  Nerdee; Narinkka-tori [C]
30.9.2006  Indica, Carmen Gray; Dipoli [C]
6.10.2006  Maija Vilkkumaa; Ateneum-sali [C]
7.10.2006  Zen Café; Nosturi [C]
14.10.2006 The Blue Man Group; The Charles Playhouse, Boston, USA
18.10.2006 Värttinä; Tapiolasali, Espoon kulttuurikeskus [C]
20.10.2006 Sansa; Ateneum-sali [C]
20.10.2006 Tiktak; Virgin Oil Co. [C]
25.10.2006 Lacuna Coil, Poisonblack; Nosturi [C]
27.10.2006 Oka; Yano, Järvenpää [C]
27.10.2006 Tiktak; Tulisuudelma [C]
28.10.2006 Viola, Regina; Kaivohuone [C]
1.11.2006  Tiktak; Giggling Marlin, Turku [C]
2.11.2006  Poor Seamus, Calf; Club Liberté [C]
4.11.2006  Viola, Sister Flo; Semifinal [C]
10.11.2006 Katariina Hänninen; Club Cosmopoli, Kerava [C]
11.11.2006 el Niklas; Tapanilan Nuorisotalo [MC]
11.11.2006 Redux; Tulisuudelma [C]
13.11.2006 Uriah Heep (unplugged); Tavastia [C]
14.11.2006 Maija Vilkkumaa; Nosturi [C]
16.11.2006 Viola, Black Audio; Kuudes linja [C]
17.11.2006 Zen Café; Tapiola Garden [C]
21.11.2006 Sansa; Kuudes linja [C]
25.11.2006 Tiktak; Kuoppanummen koulukeskus, Nummela [C]
25.11.2006 Tiktak; Awalon [C]
28.11.2006 Jethro Tull; Kulttuuritalo [C]
1.12.2006  Poor Seamus; On The Rocks [C]
2.12.2006  Katariina Hänninen; Vagabonda, Vantaa [C]
5.12.2006  Katariina Hänninen; Giggling Marlin, Turku [C]
8.12.2006  Indica; Koskilinna, Hämeenkyrö [C]
8.12.2006  Indica; Pub Liverpool, Tampere [C]
9.12.2006  Zen Café; Tavastia [C]
13.12.2006 Indica; Stoa [C]
13.12.2006 PMMP; Tavastia [C]
14.12.2006 Dame, Passionworks; On The Rocks [C]
15.12.2006 Indica; Awalon [C]
16.12.2006 Tiktak; Tapiola Garden [C]
17.12.2006 Maya's Jam: Maija Vilkkumaa, Maya Pakkaari, Hanna Pakarinen; On The Rocks [MC]
21.12.2006 Vaarna; On The Rocks [C]
22.12.2006 Scandinavian Music Group; Tavastia [C]
27.12.2006 Lauri Tähkä & Elonkerjuu; Tavastia [C]
28.12.2006 Calf (akustinen), Happoradio; On The Rocks [C]
29.12.2006 Irina; Virgin Oil Co. [C]
3.1.2007   Indica; On The Rocks [C]
6.1.2007   Diego Diaz; Anti-Imperialist Bar, Santiago de Chile, Chile [C]
8.2.2007   The Elevators; Micky Finn's, Christchurch, New Zealand [C]
9.2.2007   Purity Rising; Revolver, Queenstown, New Zealand [C]
11.2.2007  Mutz Nutz; The Pig Whistle, Queenstown, New Zealand [C]
14.2.2007  White Knuckle Ride, Haymen; ReFuel, Dunedin, New Zealand [C]
23.2.2007  Bright Red, Stature Statue; Mum, Sydney, New South Wales, Australia [C]
18.3.2007  Son; The Last Cocktail, Bangkok, Thailand [C]
18.3.2007  Grasshopper; Saxophone, Bangkok, Thailand [C]
5.4.2007   Irina; Sappee, Pälkäne [C]
6.4.2007   Kaija Koo; Awalon [C]
7.4.2007   Indica; Sappee, Pälkäne (1) [C]
7.4.2007   Indica; Sappee, Pälkäne (2) [C]
10.4.2007  KeloKlubi: Euforia, Penniless; Kuudes linja [C]
11.4.2007  Sansa, Vuk; Kuudes linja [C]
13.4.2007  Husky Rescue; Kuudes linja [C]
17.4.2007  Mitä te odotatte, Scandinavian Music Group; Semifinal [C]
17.4.2007  The Ark; Tavastia [C]
18.4.2007  Iconcrash, Everything on Black, Preesens; Semifinal [C]
21.4.2007  Irina; Awalon [C]
23.4.2007  Within Temptation, Lauren Harris; Kulttuuritalo [C]
24.4.2007  Within Temptation, Lauren Harris; Pakkahuone, Tampere [C]
28.4.2007  Zen Café; Virgin Oil Co. [C]
30.4.2007  Scandinavian Music Group; Vanha [C]
8.5.2007   Leaves' Eyes, Kamelot; Tavastia [C]
9.5.2007   Indica; Esplanadi [C]
9.5.2007   Sahara Hotnights; Tavastia [C]
11.5.2007  Irina; Tulisuudelma [C]
16.5.2007  Jonna Tervomaa; Tavastia [C]
18.5.2007  Irina; Tavastia [C]
19.5.2007  Sir Elwoodin hiljaiset värit; Tavastia [C]
22.5.2007  Jerkstars, Sara ja Susiraja; On The Rocks [C]
25.5.2007  Jippu; Savoy-teatteri [C]
25.5.2007  Indica; Tavastia [C]
26.5.2007  Jonna Tervomaa; YO-talo, Tampere [C]
1.6.2007   Maija Vilkkumaa; Sirkus, Hämeenlinna [C]
2.6.2007   Mamma Mia!; Hartwall Areena
2.6.2007   Maija Vilkkumaa; Tavastia [C]
8.6.2007   Kivenlahtirock 2007 pe: Indica, PMMP; Marin kenttä [C]
9.6.2007   Manna (akustinen); Maailman-Matin aukio [MC]
9.6.2007   Sansa; Tuparit [MC]
15.6.2007  Stella; Presidentti Club [C]
18.6.2007  Evanescence, Hanna Pakarinen; Hartwall Areena [C]
19.6.2007  Tiktak; Kuudes linja [C]
21.6.2007  RMJ 2007: Tiktak, Maj Karma; Rauma [C]
28.6.2007  Maija Vilkkumaa; On The Rocks [C]
29.6.2007  Tiktak; Tulisuudelma [C]
30.6.2007  Silhuetti, Vaarna; Everton, Viiala [C]
4.7.2007   Maija Vilkkumaa; Keskustori, Tampere [C]
5.7.2007   Irina; Kaivohuone [C]
7.7.2007   Ruisrock 2007: Marillion, Maija Vilkkumaa, Sahara Hotnights, Zen Café, The Ark; Ruissalo, Turku [C]
8.7.2007   Ruisrock 2007: Irina, Jonna Tervomaa, Lauri Tähkä & Elonkerjuu, Apulanta, Poets of the Fall, PMMP; Ruissalo, Turku [C]
12.7.2007  Elviira; Club Liberté [C]
13.7.2007  Indica, Irina; Vuolteentori, Tampere [C]
13.7.2007  Silhuetti; Bar Wirtanen, Tampere [C]
14.7.2007  Rockperry 2007: Within Temptation, Maija Vilkkumaa, Lauri Tähkä & Elonkerjuu; Vaskiluoto, Vaasa [C]
19.7.2007  Tiktak; On The Rocks [C]
21.7.2007  Wanaja Festival 2007: Irina, Yö; Linnanpuisto, Hämeenlinna [C]
22.7.2007  Tiktak; Kehräämön Kantrit, Kehräämö, Orimattila [C]
25.7.2007  Katariina Hänninen; Ravintola Lepakkomies [C]
26.7.2007  DBTL 2007: Stella; Jokiranta, Turku [C]
26.7.2007  Lauri Tähkä & Elonkerjuu; Galax, Turku [C]
27.7.2007  Regina, Xiu Xiu; Tavastia [C]
29.7.2007  Indica; Tuuloksen maaseutumarkkinat, Tuulos [C]
31.7.2007  Jonna Tervomaa; Keskustori, Tampere [C]
1.8.2007   Tiktak; Diva, Lahti [C]
2.8.2007   Maija Vilkkumaa; Tori, Salo [C]
2.8.2007   Tiktak; Kaivohuone [C]
3.8.2007   Elviira; Jannen Jamit, Järvenpää [C]
3.8.2007   Assembly 2007; Hartwall Areena
3.8.2007   Axes Denied; Assembly 2007, Hartwall Areena [C]
4.8.2007   Ankkarock 2007 la: Jonna Tervomaa, Maija Vilkkumaa, The Gathering, The Sounds, Spitfire; Korso [C]
5.8.2007   Ankkarock 2007 su: Nine Inch Nails, The Ark, Poets of the Fall, Dir en Grey; Korso [C]
10.8.2007  Ropecon 2007; Dipoli (3 days)
15.8.2007  Katariina Hänninen; Henry's Pub [C]
16.8.2007  Tiktak; Galax, Turku [C]
17.8.2007  Tiktak; Liikuntahalli, Loviisa [C]
18.8.2007  Tiktak, Lauri Tähkä & Elonkerjuu; Rocktori, Lahti [C]
19.8.2007  Tiktak; Elomessut, Hämeenlinna [C]
20.8.2007  Husky Rescue, Regina; Huvila-teltta [C]
22.8.2007  Angelica Kult, Suruaika; Vanha [C]
24.8.2007  Jonna Tervomaa; Lohi, Lohja [C]
25.8.2007  Tiktak; Virgin Oil Co. [C]
28.8.2007  Indica; Varuskunta, Riihimäki [C]
29.8.2007  PMMP (akustinen); Belly [C]
30.8.2007  Magenta Skycode; Tavastia [C]
31.8.2007  Irina; Presidentti [C]
5.9.2007   Within Temptation; The Paradise Rock Club, Boston, USA [C]
11.9.2007  Circle, Endless Boogie, Marissa Nadler; The Middle East (upstairs), Cambridge, USA [C]
15.9.2007  Within Temptation; The House of Blues, Chicago, USA [C]
25.9.2007  Wicked; The Opera House, Boston, USA
1.10.2007  Scandinavian Music Group; Dubrovnik [C]
2.10.2007  Tarja Rock: Lumi, The Voltas, Marzi Nyman trio, Johanna Kurkela; Virgin Oil Co. [MC]
4.10.2007  Poor Seamus, Umbra; Semifinal [C]
4.10.2007  Lauri Tähkä & Elonkerjuu; Tavastia [C]
12.10.2007 Scandinavian Music Group; Klubi, Tampere [C]
13.10.2007 Trio Vesala-Jaakonaho-Murros; Pub Liverpool, Tampere [C]
16.10.2007 Jonna Tervomaa, Trio Vesala-Jaakonaho-Murros, The Latebirds, Red Hill All Stars, Flaming Sideburns; Tavastia [MC]
17.10.2007 Silhuetti, Gordionin Solmu; Club Liberté [C]
19.10.2007 Scandinavian Music Group; Tavastia [C]
20.10.2007 Irina, Marbleheroes; Tavastia [C]
24.10.2007 Katariina Hänninen (akustinen); LadyMoon [C]
8.11.2007  Jonna Tervomaa; On The Rocks [C]
9.11.2007  Alavala; Rocktown [C]
15.11.2007 Tiktak; YO-talo, Tampere [C]
21.11.2007 Redux; Henry's Pub [C]
24.11.2007 Silhuetti; Turkoosi [C]
27.11.2007 The Posies (duo); Tavastia [C]
28.11.2007 Indica, Nightwish; KB Hallen, Copenhagen, Denmark [C]
4.12.2007  Indica, Nightwish; Fryshuset, Stockholm, Sweden [C]
5.12.2007  Alavala; Mascot [C]
7.12.2007  Scandinavian Music Group; Virgin Oil Co. [C]
8.12.2007  Tiktak; Tavastia [C]
9.12.2007  Tiktak; Tavastia [C]
13.12.2007 Jonna Tervomaa; Tavastia [C]
15.12.2007 Indica, Nightwish; Hakametsän jäähalli, Tampere [C]
18.12.2007 Vaarna, Afterword; On The Rocks [C]
21.12.2007 Lilja, Silja Saksa, Heidi Ilves; Piano [C]
22.12.2007 Pintandwefall; Nosturi [C]
28.12.2007 Scandinavian Music Group; Tavastia [C]
1.1.2008   Indica, Nightwish; Jäähalli [C]
5.1.2008   Jerkstars (akustinen); Swengi, Järvenpää [MC]
5.1.2008   Jerkstars, Kerho; Swengi, Järvenpää [C]
9.1.2008   Pohjannaula, Kivireki; Tavastia [C]
11.1.2008  Kaija Koo; Tulisuudelma [C]
12.1.2008  Pintandwefall; Club Liberté [C]
16.1.2008  Oka, Maunula; Semifinal [C]
17.1.2008  Stalingrad Cowgirls; On The Rocks [C]
18.1.2008  Indica; Old Texas, Kaarina [C]
31.1.2008  Sansa; Piano [C]
31.1.2008  Indica; On The Rocks [C]
2.2.2008   Irina; Club Amigos, Nummela [C]
7.2.2008   Within Temptation, Metropole Orchestra, Keith Caputo; Ahoy, Rotterdam, Netherlands [C]
8.2.2008   Indica; Amarillo, Hyvinkää [C]
9.2.2008   Scandinavian Music Group; Kultakaivos [C]
11.2.2008  Haloo Helsinki!; Semifinal [C]
13.2.2008  Jenni Vartiainen; Sellosali [C]
15.2.2008  Irina; Tulisuudelma [C]
16.2.2008  Irina; Klubi, Turku [C]
22.2.2008  Irina; Presidentti [C]
29.2.2008  Scandinavian Music Group; Lohi, Lohja [C]
3.3.2008   Viola, A Mountain of One; Kuudes linja [C]
12.3.2008  Manna; Semifinal [C]
14.3.2008  The Nits; Tavastia [C]
19.3.2008  Lilja, Lucas; Semifinal [C]
20.3.2008  Silhuetti, Katri Ylander, Kristiina Brask; Tampere-talo, Tampere [C]
21.3.2008  Jenni Vartiainen; Tavastia [C]
26.3.2008  Scandinavian Music Group; Sellosali [C]
28.3.2008  Scandinavian Music Group; Tulisuudelma [C]
1.4.2008   Jonna Tervomaa; Semifinal [C]
3.4.2008   Marbleheroes; Semifinal [C]
3.4.2008   Chisu; On The Rocks [C]
5.4.2008   Priimaa menoa: Irina, Lauri Tähkä & Elonkerjuu; Seinäjoki Areena, Seinäjoki [C]
10.4.2008  Pintandwefall, Anna Järvinen; Tavastia [C]
11.4.2008  Sansa, Zarkus Poussa; Louhisali, Espoon kulttuurikeskus [C]
11.4.2008  Stella; Tulisuudelma [C]
13.4.2008  Kelly Clarkson, XL5; Jäähalli [C]
17.4.2008  Poets of the Fall; Nokia House (1) [MC]
17.4.2008  Poets of the Fall; Nokia House (2) [MC]
18.4.2008  Iconcrash, Private Line; Gloria [C]
21.4.2008  Saara Aalto, Lilja; Club Liberté [C]
23.4.2008  Stella; Tavastia [C]
2.5.2008   Kaija Koo; DTM [C]
3.5.2008   Clannad; Kulttuuritalo [C]
7.5.2008   Jerkstars, Edward; Yano, Järvenpää [C]
9.5.2008   Lilja, Saara Aalto, Sara Suvela; Piano [C]
10.5.2008  Indica, Ra; Sellosali [C]
14.5.2008  Calf, Poor Seamus, Piecemaker; Club Liberté [C]
15.5.2008  Anna Abreu (akustinen); Iso Omena [C]
16.5.2008  Indica; Kooma, Turku [C]
17.5.2008  Indica; Kantri, Laihia [C]
18.5.2008  Viisi; Kom-ravintola [C]
18.5.2008  Anna Suominen; Club Liberté [MC]
23.5.2008  Stella + Joensuun kaupunginorkesteri; Carelia-sali, Joensuu [C]
23.5.2008  Mariska + Matti Härkönen; Kerubin kuppila, Joensuu [C]
24.5.2008  Maailma kylässä -festivaali: Suurlähettiläät; Kaisaniemi [MC]
24.5.2008  Viola, Theodor Bastard, Astrid Swan, Manboy; Gloria [C]
28.5.2008  Stella (akustinen); NRJ studio [C]
28.5.2008  Klaus Thunder & Ukkosmaine; Semifinal [C]
30.5.2008  Stella; Virgin Oil Co. [C]
31.5.2008  Indica; Sieravuori, Eura [C]
1.6.2008   YleX Pop: Chisu; Kaisaniemi [C]
3.6.2008   Viola; Semifinal [C]
6.6.2008   Kivenlahtirock 2008 pe: Scandinavian Music Group; Marin kenttä [C]
7.6.2008   Kivenlahtirock 2008 la: Stella, Jenni Vartiainen; Marin kenttä [C]
9.6.2008   Anni Suominen, Ariel; Club Liberté [C]
11.6.2008  Adora, Anna Suominen, Astrid Swan, Toria; Club Liberté [C]
12.6.2008  Viisi; Painobaari [C]
15.6.2008  Rock, raina ja rakkaus: Stella, Värttinä, 51 koodia, Susirajan juhlaorkesteri (feat. Jonna Tervomaa, Marzi Nyman, Ilkka Alanko); Kaivopuisto [C]
20.6.2008  Hangon Juhannus 2008 pe: Indica, Stella, Apulanta, Anna Abreu, Teräsbetoni; Casinonpuisto, Hanko [C]
21.6.2008  Hangon Juhannus 2008 la: Jenni Vartiainen, Chisu, Kaija Koo, Uniklubi, Lovex; Casinonpuisto, Hanko [C]
25.6.2008  Jenni Vartiainen, Blanko; Yano, Järvenpää [C]
26.6.2008  Nightwish; Kaisaniemi [C]
26.6.2008  Stella; On The Rocks [C]
30.6.2008  Avril Lavigne, Stalingrad Cowgirls; Jäähalli [C]
3.7.2008   The Wrecking Queens, The Flaming Sideburns; On The Rocks [C]
9.7.2008   Heidi Holmavuo; Fall's, Tampere [C]
9.7.2008   Stella; YO-talo, Tampere [C]
10.7.2008  Scandinavian Music Group, Von Hertzen Brothers; Pakkahuone, Tampere [C]
11.7.2008  Jenni Vartiainen, Chisu; Vuolteentori, Tampere [C]
11.7.2008  Pintandwefall; YO-talo, Tampere [C]
12.7.2008  Silhuetti, Micro; Ottopoika, Tampere [C]
15.7.2008  Jerkstars; On The Rocks [C]
19.7.2008  Sunset Beach Party 2008: Stella, Von Hertzen Brothers, Sara, Maj Karma; Karkkila [C]
21.7.2008  Adora, Toria, Minja Koskela; Club Liberté [C]
23.7.2008  Jenni Vartiainen, Chisu, The Freza; Työväen musiikkitapahtuma, Valkeakoski [C]
25.7.2008  Qstock 2008 pe: Poets of the Fall, The Sun, Ismo Alanko Teholla, Amorphis, Manic Street Preachers; Kuusisaari, Oulu [C]
26.7.2008  Qstock 2008 la: Within Temptation, Aknestik, Scandinavian Music Group, PMMP, Agua de Annique, Jippu, Kotiteollisuus; Kuusisaari, Oulu [C]
1.8.2008   Silhuetti; Iloinen kulkija, Hämeenlinna [C]
6.8.2008   Chisu; Apollo [C]
8.8.2008   Ropecon 2008; Dipoli (3 days)
15.8.2008  Jenni Vartiainen; Heven, Järvenpää [C]
16.8.2008  Jenni Vartiainen; Rautatientori [C]
17.8.2008  Jerkstars; Puistorock, Vanhankylän puisto, Järvenpää [C]
18.8.2008  Anna Suominen, Franka Oroza, Minja Koskela; Club Liberté [C]
20.8.2008  Pohjannaula; Zetor [C]
21.8.2008  Jenni Vartiainen; On The Rocks [C]
22.8.2008  Sansa; Senaatintori [C]
23.8.2008  Scandinavian Music Group; Tavastia [C]
27.8.2008  Valtavirta; Pub Hertas [C]
30.8.2008  Maija Vilkkumaa; Särkänniemi, Tampere [C]
4.9.2008   Indica; Virgin Oil Co. [C]
5.9.2008   Tiikerifestarit: The Voltas; Korkeasaari [C]
20.9.2008  Chisu, Pooma, At the End; Gloria [C]
24.9.2008  Kuuleeko kukaan? -konsertti: Paula Vesala + Mira Luoti, Von Hertzen Brothers, Olavi Uusivirta, Vanhat Kurpat Kuoro; Gloria [MC]
24.9.2008  Scandinavian Music Group; Vanha [C]
25.9.2008  Mamma Mia!; Hartwall Areena
25.9.2008  Scandinavian Music Group; Vanha [C]
27.9.2008  Indica; Tavastia [C]
30.9.2008  Sansa; On The Rocks [C]
3.10.2008  Stella; Tulisuudelma [C]
11.10.2008 Viola, Dirty Fingernails; Club Liberté [C]
17.10.2008 Jenni Vartiainen; Presidentti [C]
21.10.2008 Emilie Autumn; Tavastia [C]
21.10.2008 Muusa; Semifinal [C]
22.10.2008 Seamus; Semifinal [C]
27.10.2008 Jaarli Padington; On The Rocks [C]
28.10.2008 Värttinä; Tavastia [C]
30.10.2008 Indica, Disco Ensemble; Apollo [MC]
7.11.2008  Maija Vilkkumaa; Tavastia [C]
8.11.2008  Maija Vilkkumaa; Tavastia [C]
14.11.2008 Jonna Tervomaa; Tavastia [C]
15.11.2008 Stella; Virgin Oil Co. [C]
17.11.2008 Alavala, Dead Black Asteroid; On The Rocks [C]
26.11.2008 Jenni Vartiainen; Tavastia [C]
29.11.2008 Silhuetti; Teerenpeli, Tampere [C]
4.12.2008  Indica; On The Rocks [C]
8.12.2008  Lacuna Coil, Bullet For My Valentine; Kaapelitehdas [C]
9.12.2008  Jonna Tervomaa; Aleksanterinteatteri [C]
11.12.2008 Anna Suominen, Yona, Irma; Semifinal [C]
13.12.2008 Maija Vilkkumaa; Virgin Oil Co. [C]
14.12.2008 Viisi; Holvikellari [C]
15.12.2008 Adora, At the End (acoustic); Club Liberté [C]
18.12.2008 Viisi (akustinen); Pyhän sydämen kappeli [C]
5.1.2009   Jerkstars, Idefix; Swengi, Järvenpää [C]
17.1.2009  Alavala, Soma; Semifinal [C]
19.1.2009  Lauren Harris, Silentrain; Tavastia [C]
23.1.2009  Jaarli Padington; Friday [C]
28.1.2009  Calf, The Friend, Pouta; Kuudes linja [C]
29.1.2009  Bomb Shelter Boys; Fennia [C]
5.2.2009   Viola, Hannulelauri; Kuudes linja [C]
6.2.2009   Lilja, Lucas; Semifinal [C]
18.2.2009  Viisi; Painobaari [C]
18.2.2009  Jerkstars; On The Rocks [C]
23.2.2009  Lilja, Angelina Gracie, Tua Sofia; Club Liberté [C]
25.2.2009  Indica; KY Klubi [C]
5.3.2009   Indica, Maija Vilkkumaa; On The Rocks [C]
6.3.2009   Stella, Calf; Tavastia [C]
16.3.2009  Anna Suominen, Anni Suominen; Club Liberté [C]
23.3.2009  Adora, Sent, Janne Storm; Club Liberté [C]
28.3.2009  Muusa, Musta Joutsen; Semifinal [C]
3.4.2009   Scandinavian Music Group (acoustic); Levykauppa Äx [C]
4.4.2009   Nosferatun perintö (teekkarispeksi); Gloria
13.4.2009  Linda, Springwheels, Viitasen Piia, Teri Mantere; Club Liberté [C]
16.4.2009  Per Gessle; Tavastia [C]
18.4.2009  Viola, Regina; Korjaamo [C]
26.4.2009  Complete Vocal Institute Helsinki Concert (Saara Aalto); Semifinal [C]
29.4.2009  Muusa; On The Rocks [C]
1.5.2009   The Lord of the Rings Symphony; Tampere-talo, Tampere [C]
8.5.2009   Maija Vilkkumaa; Tavastia [C]
13.5.2009  Angelina Gracie; London Pub [C]
17.5.2009  The Crash; Tavastia [C]
20.5.2009  Palava; On The Rocks [C]
25.5.2009  Lilja; Club Liberté [C]
27.5.2009  Takida; Tavastia [C]
2.6.2009   Viisi (akustinen); Aino Actén Huvila (1) [C]
2.6.2009   Viisi (akustinen); Aino Actén Huvila (2) [C]
3.6.2009   Viola; Semifinal [C]
5.6.2009   Irina; DTM [C]
1.7.2009   Silhuetti; Kauppatori, Hämeenlinna [C]
4.7.2009   Indica, Waldo's People; Status Goes Fest, Forssa [C]
16.7.2009  Sir Elwoodin hiljaiset värit; Tavastia [C]
24.7.2009  Adora, Angelica Kult, LoveGrapes; Tavastia [C]
25.7.2009  Johanna Kurkela; Hatanpään kartano [C]
31.7.2009  Ropecon 2009; Dipoli (3 days)
1.8.2009   Sysikuu; Dipoli [MC]
7.8.2009   Stella; Bohemia [C]
22.8.2009  Viola; Wäiski [C]
23.8.2009  10+10: Maija Vilkkumaa, Tarharyhmä, Hunajamelonit; Huvila-teltta [C]
25.8.2009  Scandinavian Music Group, Samae Koskinen ja hänen taikabändinsä; Huvila-teltta [C]
29.8.2009  Iconcrash; Gloria [C]
2.9.2009   Alavala; Club Liberté [C]
3.9.2009   Muusa, Musta Joutsen; Suistoklubi, Hämeenlinna [C]
10.9.2009  Petra; On The Rocks [C]
17.9.2009  Husky Rescue; Tavastia [C]
18.9.2009  Haloo Helsinki!; Tavastia [C]
19.9.2009  Nightwish, Apocalyptica; Hartwall Areena [C]
23.9.2009  Chisu; Stockmann [MC]
23.9.2009  Scandinavian Music Group; Sellosali [C]
25.9.2009  Scandinavian Music Group; Virgin Oil Co. [C]
30.9.2009  10+10: Maija Vilkkumaa, Tarharyhmä, Hunajamelonit; Savoy-teatteri [C]
2.10.2009  Kristiina Wheeler (akustinen), Rödsögården (akustinen); Club Liberté [C]
3.10.2009  Casino All Stars (feat. Petra, Hanna Pakarinen, Belle Who); Grand Casino [MC]
14.10.2009 Irina; Stockmann [MC]
14.10.2009 Sansa; Belly [C]
15.10.2009 PMMP; On The Rocks [C]
16.10.2009 Indica; Fennia [C]
